user_id,title,text,rate
2,ランチで食べました,スープが濃厚でとても美味しかった。,5.0
3,最高のつけ麺です,スープが濃厚でとても美味しかった。,4.5
4,美味しかった,スープが濃厚でとても美味しかった。,4.0
5,毎日食べたい,スープが濃厚でとても美味しかった。,3.5
6,今日の晩ご飯はつけ麺です,スープが濃厚でとても美味しかった。,3.0
7,麺にコシがある,初めての来店。麺にこだわりがある。,2.5
8,よくある味,初めての来店。麺にこだわりがある。,2.0
9,値段が高い,初めての来店。麺にこだわりがある。,1.5
10,値段の割にそれほど,初めての来店。麺にこだわりがある。,1.0
2,究極のつけ麺,スープが濃厚でとても美味しかった。,5.0
3,スープが濃厚,スープが濃厚でとても美味しかった。,4.5
4,1日のご褒美,スープが濃厚でとても美味しかった。,4.0
5,納得の味,スープが濃厚でとても美味しかった。,3.5
6,シメにつけ麺,スープが濃厚でとても美味しかった。,3.0
7,おいしい,初めての来店。麺にこだわりがある。,2.5
8,家族で行きました,初めての来店。麺にこだわりがある。,2.0
9,行列でなかなか食べられない,初めての来店。麺にこだわりがある。,1.5
10,味が薄い,初めての来店。麺にこだわりがある。,1.0
